,approach,seed,trained_on,evaluated_on,simulation_run,reward,duration,distance,power,velocity,CoT
0,TwoSides,0,flat,1,0,3419.319430568592,1000,210.04699805769144,16250.430814014822,0.21004699805769145,5.526120672408306
1,TwoSides,0,flat,1,1,3423.746953950585,1000,210.19210083361503,15771.184960444014,0.21019210083361503,5.3594459877063505
2,TwoSides,0,flat,1,2,3331.4262800825873,1000,205.3045727971064,15599.683305475328,0.2053045727971064,5.427366171475467
3,TwoSides,0,flat,1,3,3461.975620701645,1000,212.42164362388664,15898.30512758421,0.21242164362388663,5.345939349803504
4,TwoSides,0,flat,1,4,3268.7710920571985,1000,202.578040313988,16011.836348412582,0.202578040313988,5.6457382771720495
5,TwoSides,0,flat,1,5,3254.110246941799,1000,201.54979359160944,15719.392082390968,0.20154979359160943,5.570899876215633
6,TwoSides,0,flat,1,6,3314.991394666086,1000,204.8169300558474,15850.388462038232,0.2048169300558474,5.527719823369062
7,TwoSides,0,flat,1,7,3336.5961504131014,1000,205.84064690832884,15862.068262014449,0.20584064690832884,5.504281554083722
8,TwoSides,0,flat,1,8,3355.973509200911,1000,206.39281753173032,15962.052641801547,0.2063928175317303,5.5241584029262825
9,TwoSides,0,flat,1,9,3335.688669195449,1000,205.05152022480078,15840.136231125238,0.20505152022480078,5.517824500802627
10,TwoSides,0,flat,1,0,2793.2057015955947,1000,173.53371363042294,13971.092313633402,0.17353371363042294,5.750670255261433
11,TwoSides,0,flat,1,1,2846.0894706723484,1000,176.41328304067997,14352.352807865114,0.17641328304067996,5.8111727191668034
12,TwoSides,0,flat,1,2,2931.2093553062696,1000,180.5308748590117,14281.470323283744,0.1805308748590117,5.650584831477509
13,TwoSides,0,flat,1,3,2696.832804301013,1000,168.6201262858637,13909.526761328607,0.1686201262858637,5.892165115122913
14,TwoSides,0,flat,1,4,2883.9085106079697,1000,179.21349194391874,14815.283276732842,0.17921349194391875,5.904881983426699
15,TwoSides,0,flat,1,5,2842.737368692126,1000,176.63828611567982,14328.769365901959,0.17663828611567983,5.79423379066064
16,TwoSides,0,flat,1,6,2938.8087829806127,1000,181.292456917339,14545.217760977228,0.181292456917339,5.730763118610049
17,TwoSides,0,flat,1,7,2777.130651404302,1000,172.31756257174217,13882.479249673253,0.17231756257174216,5.754524645612397
18,TwoSides,0,flat,1,8,2812.1865607416503,1000,174.4381250158431,14184.36613896416,0.1744381250158431,5.808185623607177
19,TwoSides,0,flat,1,9,2823.921509331521,1000,175.34900028937636,14279.280663372772,0.17534900028937636,5.816677694934854
